# Missense constraints for canonical transcripts: https://gnomad.broadinstitute.org/downloads#v2-constraint
# https://storage.googleapis.com/gcp-public-data--gnomad/release/2.1.1/constraint/gnomad.v2.1.1.lof_metrics.by_transcript.txt.bgz
# Matching by missense z-score and CDS length
gene_symbol	canonical_transcript	missense_zscore	cds_length	control_gene_symbol	canonical_transcript	missense_zscore	cds_length
ACTA2	ENST00000458208	3.20E+00	1131	PCPB1	ENST00000303577	3.20E+00	1068
ACTC1	ENST00000290378	4.52E+00	1131	ACTA1	ENST00000366684	4.53E+00	1131
ACVRL1	ENST00000388922	2.45E+00	1509	CMAS	ENST00000229329	2.45E+00	1302
BAG3	ENST00000369085	-7.36E-01	1725	ITFG3	ENST00000399932	-7.34E-01	1656
BMPR1A	ENST00000372037	1.92E+00	1596	PSAP	ENST00000394936	-5.25E-01	1572
BTD	ENST00000303498	-5.25E-01	1629	PHC1	ENST00000543824	1.92E+00	3012
CASQ2	ENST00000261448	-1.95E-01	1197	TRIB3	ENST00000217233	-1.94E-01	1074
DES	ENST00000373960	1.77E+00	1410	TUBA3C	ENST00000400113	1.78E+00	1350
DSC2	ENST00000280904	3.73E-01	2703	CLCA2	ENST00000370565	3.73E-01	2829
ENG	ENST00000373203	9.35E-01	1974	EXD2	ENST00000409018	9.33E-01	1863
GAA	ENST00000302262	-6.33E-01	2856	PCDHA11	ENST00000398640	-6.24E-01	2847
GLA	ENST00000218516	1.88E+00	1287	BECN11	ENST00000361523	1.88E+00	1350
HFE	ENST00000357618	6.33E-01	1044	SDR9C7	ENST00000293502	6.33E-01	939
HNF1A	ENST00000257555	1.14E+00	1893	MAG	ENST00000392213	1.13E+00	1878
KCNQ1	ENST00000155840	1.83E+00	2028	ACSS1	ENST00000323482	1.83E+00	2067
LDLR	ENST00000558518	1.24E-01	2580	DGKG	ENST00000265022	1.25E-01	2373
LMNA	ENST00000368300	2.37E+00	1992	GMPS	ENST00000496455	2.37E+00	2079
MAX	ENST00000358664	1.81E+00	480	UBE2W	ENST00000419880	1.81E+00	573
MEN1	ENST00000337652	3.25E+00	1845	XPR1	ENST00000367590	3.23E+00	2088
MLH1	ENST00000231790	-3.04E-01	2268	SLC12A8	ENST00000393469	-3.06E-01	2142
MSH2	ENST00000233146	-2.45E+00	2802	TAS1R3	ENST00000339381	-2.38E+00	2556
MUTYH	ENST00000372098	-2.07E-01	1638	UTP18	ENST00000225298	-2.08E-01	1668
MYL2	ENST00000228841	3.96E-01	498	C1orf146	ENST00000370375	3.97E-01	540
MYL3	ENST00000395869	7.56E-01	585	RP11-433C9.2	ENST00000419960	7.56E-01	612
NF2	ENST00000338641	2.29E+00	1785	KCNN2	ENST00000512097	2.29E+00	1737
OTC	ENST00000039007	1.33E+00	1062	RNF146	ENST00000368314	1.33E+00	1077
PCSK9	ENST00000302118	2.72E-01	2076	ALOX15B	ENST00000380183	2.72E-01	2028
PKP2	ENST00000070846	-2.13E-01	2643	VEPH1	ENST00000362010	-2.13E-01	2499
PMS2	ENST00000265849	-5.57E-01	2586	PTCD1	ENST00000555673	-5.60E-01	2247
PRKAG2	ENST00000287878	1.65E+00	1707	NCLN	ENST00000246117	1.66E+00	1689
PTEN	ENST00000371953	3.49E+00	1209	SUV39H1	ENST00000376687	3.49E+00	1236
RB1	ENST00000267163	2.67E+00	2784	EPC1	ENST00000263062	2.67E+00	2508
RPE65	ENST00000262340	-2.40E-01	1599	ZNF257	ENST00000594947	-2.40E-01	1689
SDHAF2	ENST00000301761	-1.39E-01	498	EID1	ENST00000530028	-1.39E-01	561
SDHB	ENST00000375499	-1.02E-01	840	GJC3	ENST00000312891	-1.02E-01	837
SDHC	ENST00000367975	8.25E-01	507	CHCHD10	ENST00000484558	8.25E-01	426
SDHD	ENST00000375549	-1.66E-01	477	NXNL2	ENST00000375854	-1.67E-01	468
SMAD3	ENST00000327367	3.48E+00	1275	KCNJ8	ENST00000240662	3.45E+00	1272
SMAD4	ENST00000342988	4.13E+00	1656	ABCE1	ENST00000296577	4.10E+00	1797
STK11	ENST00000326873	1.60E+00	1299	C16orf70	ENST00000219139	1.60E+00	1266
TGFBR1	ENST00000374994	2.79E+00	1509	SRF	ENST00000265354	2.79E+00	1524
TGFBR2	ENST00000359013	2.24E+00	1776	PGM2L1	ENST00000298198	2.24E+00	1866
TMEM127	ENST00000258439	4.48E-01	714	REEP4	ENST00000306306	4.48E-01	771
TMEM43	ENST00000306077	-4.22E-01	1200	ADAT3	ENST00000329478	-4.22E-01	1101
TNNC1	ENST00000232975	1.77E+00	483	RPS13	ENST00000525634	1.77E+00	453
TNNI3	ENST00000344887	1.28E+00	630	SENP8	ENST00000544411	1.28E+00	636
TNNT2	ENST00000509001	1.19E+00	864	SIX1	ENST00000247182	1.19E+00	852
TP53	ENST00000269305	9.83E-01	1179	BCAT2	ENST00000316273	9.82E-01	1176
TPM1	ENST00000358278	2.87E+00	852	FAM49A	ENST00000381323	2.87E+00	969
TRDN	ENST00000398178	-7.70E-02	2187	PADI4	ENST00000375448	-7.75E-02	1989
TTR	ENST00000237014	1.01E+00	441	C21orf88	ENST00000380612	1.02E+00	435
VHL	ENST00000256474	-3.95E-01	639	TM4SF20	ENST00000304568	-3.96E-01	687
WT1	ENST00000332351	1.78E+00	1551	CHEK1	ENST00000534070	1.78E+00	1428
